_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
92,24216182,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO GERAL,MANUTENCAO DAS ATIVIDADES DO GABINETE DO PREFEITO,nao se aplica,-,Alta,"Gestao administrativa geral do gabinete do prefeito sem finalidade identificavel ligada ao publico da primeira infancia.",,Nao
93,24216188,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,PLANEJAMENTO E ORCAMENTO,GESTAO DA SECRETARIA MUNICIPAL DE PLANEJAMENTO,nao se aplica,-,Alta,"Gestao de planejamento e orcamento geral do municipio sem conexao finalistica com GSPI-M.",,Nao
94,24216004,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),Assistencia Social,Nao Especifico,Alta,"CRAS integra protecao social basica e atende familias e individuos, incluindo familias com criancas pequenas de forma ampliada.",,Nao
95,24216011,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DOS SERVICOS DE SAUDE BUCAL,Saude Materno-infantil,Nao Especifico,Alta,"Servicos de saude bucal em atencao basica beneficiam tambem criancas pequenas, gestantes e familias, de forma nao exclusiva.",,Nao
96,24216013,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (PRE ESCOLA),Educacao Infantil,Especifico,Alta,"Programa primeira infancia, ensino infantil e manutencao de pre-escola indicam acao diretamente voltada a educacao infantil.",,Nao
97,24216018,Alvorada,GESTAO E MANUTENCAO DE SERVICO AO MUNICIPIO,ADMINISTRACAO,ADMINISTRACAO FINANCEIRA,GESTAO DA SECRETARIA MUNICIPAL DE FINANCAS (SEFIN),nao se aplica,-,Alta,"Gestao financeira geral do municipio sem finalidade ligada a criancas de 0 a 6 anos, gestantes ou lactantes.",,Nao
98,24216036,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DA ILUMINACAO PUBLICA,nao se aplica,-,Alta,"Iluminacao publica e exclusao geral no GSPI-M quando nao ha beneficio concreto e identificavel ao publico da primeira infancia.",,Nao
99,24216021,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DAS ATIVIDADES DO ENSINO INFANTIL (CRECHE) - FUNDEB 30%,Educacao Infantil,Especifico,Alta,"Ensino infantil e creche indicam acao diretamente voltada a educacao infantil.",,Nao
100,24216028,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA A ASSISTENCIA SOCIAL (CRAS),Assistencia Social,Nao Especifico,Alta,"CRAS integra a protecao social basica e atende familias com criancas pequenas de forma ampliada, junto a outros publicos.",,Nao
101,24216051,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,VIGILANCIA EPIDEMIOLOGICA,REALIZACAO DAS ACOES DE VIGILANCIA EM SAUDE,Saude Materno-infantil,Nao Especifico,Alta,"Vigilancia epidemiologica integra vigilancia em saude e beneficia a primeira infancia, gestantes e familias de forma ampliada.",,Nao
