_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
72,24215825,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,TRANSPORTE RODOVIARIO,MANUTENCAO DO TRANSPORTE ESCOLAR,Educacao Infantil,Nao Especifico,Media,"Transporte escolar em programa de educacao pode beneficiar alunos da educacao infantil, mas a linha nao explicita etapa, publico ou exclusividade.","Confirmar se o transporte escolar abrange a educacao infantil.",Sim
73,24215829,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA DE AGENTE COMUNITARIO EM SAUDE (ACS),Saude Materno-infantil,Nao Especifico,Alta,"Agentes comunitarios de saude atuam na atencao basica e alcancam familias, gestantes e criancas pequenas de forma ampliada.",,Nao
74,24215831,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,CONCESSAO DE BENEFICIO EVENTUAL,Assistencia Social,Nao Especifico,Alta,"Beneficio eventual em assistencia social atende familias e individuos vulneraveis, incluindo familias com criancas pequenas de forma nao exclusiva.",,Nao
75,24215833,Alvorada,PRIMEIRA INFANCIA,EDUCACAO,ENSINO INFANTIL,MANUTENCAO DO ENSINO INFANTIL (PRE ESCOLA),Educacao Infantil,Especifico,Alta,"Programa primeira infancia, ensino infantil e manutencao de pre-escola indicam acao diretamente voltada a educacao infantil.",,Nao
76,24215839,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL (FMAS),Assistencia Social,Nao Especifico,Alta,"Manutencao do FMAS sustenta a politica de assistencia social que atende familias vulneraveis, incluindo familias com criancas pequenas de modo ampliado.",,Nao
77,24215804,Alvorada,MEIO AMBIENTE,GESTAO AMBIENTAL,PRESERVACAO E CONSERVACAO AMBIENTAL,MANUTENCAO DO ATERRO SANITARIO,Saneamento e Agua,Nao Especifico,Media,"Aterro sanitario se relaciona a manejo de residuos solidos, subarea de saneamento e agua, beneficiando a populacao de forma ampliada; a funcao ambiental torna o enquadramento menos direto.","Confirmar se manutencao de aterro sanitario em gestao ambiental deve seguir o padrao de saneamento e residuos.",Sim
78,24215800,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,Assistencia Social,Nao Especifico,Alta,"CREAS integra protecao social especial e atende familias vulneraveis, inclusive com criancas pequenas, de modo nao exclusivo.",,Nao
79,24215789,Alvorada,"AGROPECUARIA SUSTENTAVEL, COMERCIALIZACAO E ABASTECIMENTO",AGRICULTURA,EXTENSAO RURAL,"MANUTENCAO, RECUPERACAO E ADEQUACAO DE ESTRADA VICINAL",nao se aplica,-,Alta,"Manutencao, recuperacao e adequacao de estrada vicinal em agricultura/extensao rural nao possui conexao finalistica com primeira infancia; transporte/estradas genericas ficam fora do GSPI-M.",,Nao
80,24215766,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,nao se aplica,-,Alta,"Manutencao do ensino fundamental nao corresponde a educacao infantil e nao explicita beneficio ao publico de 0 a 6 anos.",,Nao
81,24215771,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),Saude Materno-infantil,Nao Especifico,Alta,"Manutencao do FMS e despesa-meio de saude, padrao ja aprovado, que sustenta politicas de saude que beneficiam criancas pequenas, gestantes e familias.",,Nao
