_excel_row,Id,nomeMunicipio,nomePrograma,nomeFuncao,nomeSubFuncao,nomeAcaoOrcamentaria,Area Tematica LLM,Gasto E ou NE LLM,Confianca,Justificativa,Campos faltantes ou duvidas,Requer revisao humana
52,24215964,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,URBANISMO,SERVICOS URBANOS,MANUTENCAO DOS SERVICOS DE INFRAESTRUTURA E TRANSPORTE,nao se aplica,-,Alta,"Manutencao generica de infraestrutura e transporte urbano nao demonstra beneficio concreto ao publico da primeira infancia; urbanismo/transporte generico fica fora do GSPI-M.",,Nao
53,24215958,Alvorada,ASSISTENCIA SOCIAL,ASSISTENCIA SOCIAL,ASSISTENCIA COMUNITARIA,MANUTENCAO DO CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL - CREAS,Assistencia Social,Nao Especifico,Alta,"CREAS integra protecao social especial e atende familias e individuos vulneraveis, incluindo familias com criancas pequenas de modo nao exclusivo.",,Nao
54,24215954,Alvorada,INFRAESTRUTURA E DESENVOLVIMENTO SUSTENTAVEL,ADMINISTRACAO,ADMINISTRACAO GERAL,MANUTENCAO DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E TRANSPORTES,nao se aplica,-,Alta,"Manutencao administrativa de infraestrutura e transportes nao possui finalidade identificavel ligada a criancas de 0 a 6 anos, gestantes ou lactantes.",,Nao
55,24216000,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ALIMENTACAO E NUTRICAO,MANUTENCAO DA ALIMENTACAO ESCOLAR,Educacao Infantil,Nao Especifico,Media,"Alimentacao escolar pode beneficiar criancas da educacao infantil, mas a linha nao explicita etapa infantil nem exclusividade; por isso e tratada como educacao infantil de beneficio ampliado.","Confirmar se a alimentacao escolar abrange a educacao infantil no municipio.",Sim
56,24216001,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,Saude Materno-infantil,Nao Especifico,Alta,"Estrategia Saude da Familia integra atencao basica e beneficia criancas pequenas, gestantes e familias de forma ampliada.",,Nao
57,24215971,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,SUPORTE PROFILATICO E TERAPEUTICO,MANUTENCAO DA ASSISTENCIA FARMACEUTICA BASICA,Saude Materno-infantil,Nao Especifico,Alta,"Assistencia farmaceutica basica e subarea de saude materno-infantil e beneficia a primeira infancia e outros grupos de modo ampliado.",,Nao
58,24215975,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ATENCAO BASICA,MANUTENCAO DO PROGRAMA ESTRATEGIA SAUDE DA FAMILIA,Saude Materno-infantil,Nao Especifico,Alta,"Estrategia Saude da Familia integra atencao basica e beneficia o publico da primeira infancia de modo ampliado.",,Nao
59,24215976,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,SUPORTE PROFILATICO E TERAPEUTICO,MANUTENCAO DA ASSISTENCIA FARMACEUTICA BASICA,Saude Materno-infantil,Nao Especifico,Alta,"Assistencia farmaceutica basica apoia o acesso a medicamentos e beneficia tambem criancas pequenas, gestantes e familias.",,Nao
60,24215921,Alvorada,SAUDE DIREITO DO CIDADAO,SAUDE,ADMINISTRACAO GERAL,MANUTENCAO DO FUNDO MUNICIPAL DE SAUDE (FMS),Saude Materno-infantil,Nao Especifico,Alta,"Manutencao do FMS e despesa-meio de saude, padrao ja aprovado, que sustenta politicas de saude que beneficiam criancas pequenas, gestantes e familias.",,Nao
61,24215924,Alvorada,EDUCACAO E FORMACAO CIDADA,EDUCACAO,ENSINO FUNDAMENTAL,MANUTENCAO DO ENSINO FUNDAMENTAL,nao se aplica,-,Alta,"Manutencao do ensino fundamental nao corresponde a educacao infantil e nao explicita beneficio a criancas de 0 a 6 anos.",,Nao
